timestamp,pid,rss_kb,vsz_kb,pct_mem
1773995887,8446,443828,450644,1.3
1773995889,8446,446520,453372,1.3
1773995891,8446,449252,456108,1.3
1773995893,8446,451784,458564,1.3
1773995895,8446,454132,460888,1.3
1773995897,8446,456392,463212,1.4
1773995899,8446,459116,465800,1.4
1773995901,8446,461736,468396,1.4
1773995903,8446,465464,472212,1.4
1773995905,8446,468168,474800,1.4
1773995907,8446,470960,477676,1.4
1773995909,8446,473928,480544,1.4
1773995911,8446,476932,483544,1.4
1773995913,8446,479912,486552,1.4
1773995915,8446,482512,489148,1.4
1773995917,8446,484648,491200,1.4
1773995919,8446,487220,493788,1.4
1773995921,8446,490068,496664,1.5
1773995923,8446,492464,498980,1.5
1773995925,8446,495008,501576,1.5
1773995927,8446,497308,503768,1.5
1773995929,8446,499552,506084,1.5
1773995931,8446,502104,508548,1.5
1773995933,8446,504960,511416,1.5
1773995935,8446,507664,514144,1.5
1773995937,8446,510368,516740,1.5
1773995939,8446,512828,519204,1.5
1773995941,8446,514844,521248,1.5
1773995943,8446,516968,523300,1.5
1773995945,8446,519684,527052,1.5
1773995947,8446,522040,529376,1.6
1773995950,8446,524036,531428,1.6
1773995952,8446,525656,533068,1.6
1773995954,8446,527472,534840,1.6
1773995956,8446,528644,535936,1.6
1773995958,8446,528644,535936,1.6
1773995960,8446,528644,535936,1.6
1773995962,8446,528644,535936,1.6
1773995964,8446,528644,535936,1.6
1773995966,8446,528644,535936,1.6
1773995968,8446,528644,535936,1.6
1773995970,8446,528644,535936,1.6
1773995972,8446,528644,535936,1.6
1773995974,8446,528644,535936,1.6
1773995976,8446,528644,535936,1.6
1773995978,8446,528644,535936,1.6
1773995980,8446,528644,535936,1.6
1773995982,8446,528644,535936,1.6
1773995984,8446,528644,535936,1.6
1773995986,8446,528644,535936,1.6
1773995988,8446,528644,535936,1.6
1773995990,8446,528644,535936,1.6
1773995992,8446,528644,535936,1.6
1773995994,8446,528644,535936,1.6
1773995996,8446,528644,535936,1.6
1773995998,8446,528644,535936,1.6
1773996000,8446,528644,535936,1.6
1773996002,8446,528644,535936,1.6
1773996004,8446,528644,535936,1.6
1773996006,8446,528644,535936,1.6
1773996008,8446,528644,535936,1.6
1773996010,8446,528644,535936,1.6
1773996012,8446,528644,535936,1.6
